UserID,PolicyID1,PolicyID2,PolicyID3,PolicyID4,PolicyID5,PolicyID6,PolicyID7,PolicyID8,PolicyID9,PolicyID10
124,2.2,,1.7,,4.3,3.3,,,1.9,2.9
125,4.0,1.2,2.9,,,1.9,2.2,,3.9,1.9
126,4.3,,4.8,4.5,3.2,3.2,2.1,,,2.3
127,2.4,4.2,1.2,,3.0,2.0,,3.0,,4.5
128,,,2.0,4.4,,3.7,3.4,1.6,1.4,4.2
129,,3.9,4.9,,,2.5,4.5,2.5,4.1,2.6
130,3.3,1.9,,2.0,,3.0,4.3,2.2,1.2,4.3
131,3.2,3.4,,4.2,3.5,3.1,4.4,1.8,2.9,2.5
132,1.2,2.6,1.4,3.7,4.9,1.2,,4.1,4.3,3.7
133,4.1,,2.6,,2.8,,,3.5,1.4,4.9
134,3.4,3.8,1.4,1.6,,4.4,4.8,1.5,,3.4
135,,,2.6,2.2,,2.3,3.4,4.5,1.8,
136,1.1,2.4,,3.2,4.9,1.8,2.8,1.4,2.3,3.1
137,1.0,2.5,,,1.8,2.4,4.7,,,1.1
138,4.9,,,3.0,2.8,,2.1,2.2,4.7,2.1
139,,4.3,3.2,1.5,,1.1,2.9,,3.4,4.2
140,2.6,2.0,1.8,5.0,3.7,,,,,4.8
141,,,3.8,1.7,4.3,3.0,2.7,,4.9,1.4
142,,1.1,3.9,1.8,2.0,1.5,4.0,3.6,4.2,3.4
143,1.4,,1.4,4.2,2.0,1.6,4.9,4.8,3.5,
144,2.3,1.9,1.0,,,4.3,2.8,3.0,,1.1
145,,3.2,4.0,,3.2,,4.9,4.9,3.0,4.7
146,,2.0,2.9,2.6,2.7,,5.0,4.7,2.1,2.6
147,3.5,2.4,,,2.0,2.5,,4.9,,2.1
148,4.1,4.7,4.8,,3.4,5.0,2.1,4.1,4.2,
149,1.9,,1.2,3.8,1.3,,2.5,1.8,,3.0
150,2.5,2.2,,3.2,1.9,2.4,,,,
151,2.9,,2.3,4.4,,,3.2,3.2,5.0,3.7
152,1.5,3.0,2.9,,,3.1,3.8,1.1,2.9,4.1
153,,,,,2.5,,2.2,1.8,3.6,4.8
154,,4.6,,,,1.5,3.9,,,1.9
155,4.0,3.0,,,1.3,3.9,3.7,4.2,3.0,2.7
156,2.0,4.1,,3.9,4.9,4.7,3.5,1.8,1.2,4.0
157,,2.4,,,4.6,,3.1,4.8,4.2,
158,,3.8,4.4,3.0,2.7,,2.0,3.8,3.5,2.9
159,2.6,3.6,,4.9,4.0,1.7,2.5,3.3,,
160,,2.6,3.3,,,,2.5,2.3,,
161,5.0,,1.3,2.3,4.7,,,,,
162,2.5,4.1,,,1.4,,2.6,4.4,1.1,1.5
163,4.8,3.6,,,2.9,,3.7,,1.0,2.8
164,4.3,,1.5,,1.5,2.8,,,4.2,5.0
165,,2.4,4.1,4.2,2.1,,2.6,1.9,4.9,
166,2.8,2.9,4.5,4.3,4.2,,1.8,2.5,3.8,
167,4.6,3.8,4.6,,1.8,3.6,,2.0,,4.1
168,,,,,,3.9,3.0,1.1,3.8,
169,,1.0,2.5,4.3,3.2,,1.6,3.3,2.5,3.8
170,4.7,4.7,,3.9,3.0,,3.1,3.0,,3.9
171,1.7,1.8,1.5,,,1.9,4.6,,3.9,
172,4.6,,,4.6,3.5,,2.2,2.6,1.3,
173,4.7,2.6,1.6,1.5,,4.1,4.7,1.3,,1.2
174,,4.1,4.4,4.5,1.7,,2.3,2.5,,
175,,3.7,,,,2.6,3.0,,,1.5
176,2.4,2.8,1.7,,1.6,1.7,1.3,3.5,,4.9
177,2.3,,4.6,1.7,4.6,2.4,2.6,2.1,4.6,4.4
178,3.0,3.7,3.5,3.0,,,3.7,2.2,4.4,1.2
179,4.5,,3.9,2.4,3.7,1.4,1.5,1.9,,
180,1.8,3.3,,,,1.8,,2.6,4.7,1.7
181,1.3,2.5,2.1,4.5,4.0,1.6,3.1,1.0,,2.6
182,,4.4,3.2,2.8,4.2,,,3.9,1.8,2.3
183,1.9,,2.2,,2.8,1.4,2.7,4.6,,4.8
184,3.9,,,1.6,4.5,1.6,3.7,1.4,4.7,4.4
185,1.5,3.2,4.2,,,4.1,,2.7,,
186,,2.9,2.9,,1.0,1.7,,3.9,3.0,
187,3.0,1.3,,2.4,,1.7,3.3,1.3,,
188,3.9,4.8,1.0,1.6,2.4,1.8,2.1,1.6,1.8,4.0
189,4.7,3.1,,2.4,,3.1,,1.8,,3.7
190,2.1,1.4,3.0,2.9,1.3,2.6,4.0,,4.9,1.4
191,2.1,4.5,2.9,2.4,3.4,1.8,,1.3,1.7,4.2
192,1.5,4.5,3.3,3.5,4.1,3.2,3.2,,3.1,
193,4.8,1.3,3.7,3.9,4.8,,1.8,2.5,4.8,4.6
194,3.0,1.7,2.5,3.9,,2.4,3.4,,1.9,
195,4.2,,1.8,3.6,2.1,5.0,,2.9,,3.4
196,,4.3,1.8,,1.7,2.8,4.4,,,4.6
197,4.3,5.0,,4.1,2.0,2.7,3.6,,1.8,3.9
198,,,3.5,,,1.5,4.3,5.0,1.4,
199,2.1,,,2.7,4.7,,,3.0,,2.3
200,,4.5,1.1,,,4.0,4.8,3.8,4.7,
201,,1.9,1.2,3.3,4.6,2.7,3.6,2.2,3.1,2.0
202,1.3,,,3.7,,,3.9,,2.1,1.4
203,3.2,2.3,,,3.0,,2.0,,1.7,2.1
204,3.1,4.4,,2.1,4.6,4.4,3.0,,,
205,2.3,4.0,,2.4,2.8,2.7,3.7,3.2,2.7,4.8
206,4.3,,3.4,2.8,1.7,,,4.7,4.5,
207,4.2,3.5,1.7,1.1,2.3,4.0,3.8,4.2,,4.8
208,,,,3.0,,1.2,,2.2,,2.0
209,,4.7,2.2,,1.9,1.9,3.8,4.9,3.9,
210,,,2.7,2.9,,,3.2,3.0,,4.9
211,3.0,3.8,2.7,3.4,3.2,4.4,2.1,1.6,,2.4
212,,,,4.9,4.4,,4.6,,1.4,
213,1.6,1.4,3.2,,3.4,4.1,,2.8,2.4,
214,4.7,4.2,,1.0,,5.0,1.5,4.1,,4.5
215,2.8,3.4,,4.8,4.0,4.6,1.4,,,
216,,3.0,2.3,4.0,,4.0,1.8,2.4,,
217,3.5,3.5,1.9,2.2,3.2,2.5,2.2,2.2,3.3,4.4
218,4.2,3.5,2.9,3.8,,1.7,3.1,1.1,4.4,1.3
219,,,1.3,3.8,3.6,,2.4,3.5,2.2,2.5
220,2.8,3.7,,4.2,,2.2,2.5,3.5,4.4,3.1
221,4.0,,1.3,,1.0,4.2,2.7,3.1,3.6,
222,2.1,3.1,1.7,,,3.3,4.8,4.5,,
223,,1.4,2.9,4.0,3.2,3.4,2.5,,,
224,,,1.0,,4.0,5.0,3.9,2.2,,
225,,3.4,2.5,1.7,,3.5,3.5,,2.2,
226,2.1,,4.5,1.7,,1.3,,4.0,2.1,
227,1.2,,,3.4,2.8,1.3,,2.5,4.9,1.9
228,3.9,,1.7,3.5,1.5,2.5,,4.5,2.4,
229,2.6,1.3,,1.1,4.3,4.0,2.0,2.6,3.9,3.6
230,3.3,2.6,4.2,,3.1,4.1,,4.0,2.5,
231,,,3.7,4.4,,,2.5,3.1,,4.7
232,3.3,3.6,4.9,,1.9,4.8,3.3,4.6,1.8,3.4
233,4.8,4.4,2.1,,,3.0,1.0,1.3,1.6,1.2
234,4.2,4.7,,1.9,2.4,4.5,4.7,1.3,2.0,4.7
235,,3.4,,1.2,2.6,4.6,4.4,3.7,1.6,2.2
236,2.6,2.3,3.7,4.3,,,3.2,,2.4,3.6
237,,,3.6,2.8,3.6,2.9,4.1,4.2,,2.3
238,2.0,2.6,3.3,4.2,,,,3.0,4.0,4.4
239,,,1.4,,,1.7,,2.5,2.2,4.6
240,,,2.2,,3.6,1.2,,3.5,3.8,
241,,5.0,1.4,,1.8,1.5,2.3,4.2,2.2,2.8
242,4.9,3.2,2.1,,3.3,1.2,,5.0,,
243,1.8,1.3,4.9,1.3,,,,2.5,2.5,2.4
244,1.6,,4.5,3.7,,2.2,3.2,4.0,3.2,
245,2.0,,4.6,4.6,4.2,,1.1,3.3,4.5,4.3
246,4.5,3.1,4.3,3.4,,3.1,2.9,1.7,3.9,4.6
247,3.6,,2.0,,4.2,1.9,3.3,2.5,5.0,2.2
248,,1.1,3.1,2.0,4.4,3.6,2.3,,4.9,
249,3.0,3.6,2.2,,2.8,4.5,1.1,2.3,4.2,4.9
250,3.8,2.7,3.4,,3.3,3.1,4.0,,2.3,2.3
251,4.9,,3.4,1.4,,3.6,1.6,2.7,,2.3
252,4.5,,1.1,,,1.7,,2.3,1.9,3.4
253,2.3,3.6,,,2.2,1.5,,3.6,1.1,4.1
254,,,1.1,,1.2,3.7,,1.7,1.9,1.7
255,,2.7,,,2.2,4.0,,3.9,3.7,3.7
256,3.5,2.5,3.0,4.7,,2.4,3.4,4.4,,5.0
257,2.7,,4.8,1.6,1.2,,4.4,4.1,4.7,
258,4.4,,,4.0,1.7,,2.8,3.7,1.5,2.0
259,,1.9,2.0,,,4.7,1.3,,1.7,4.0
260,3.5,1.1,3.8,4.5,2.0,,,2.6,,3.3
261,3.9,,,4.4,,4.1,3.6,4.9,3.9,4.0
262,,,3.9,,3.0,1.5,2.1,,2.7,4.1
263,,,,3.2,1.5,1.0,3.2,2.7,4.2,4.9
264,,4.1,3.7,4.6,4.2,1.2,3.1,,2.2,1.8
265,2.4,,1.6,4.4,3.6,4.7,,,3.4,1.6
266,3.7,,2.0,4.2,3.2,,3.8,,,3.8
267,4.2,3.2,4.6,1.0,3.4,,2.1,,,1.4
268,,2.9,2.9,2.6,3.3,,1.9,4.0,,2.2
269,4.5,2.1,1.4,3.8,4.1,1.5,2.9,,2.0,
270,3.6,,3.2,,2.0,3.2,,3.6,2.7,4.6
271,4.6,,4.9,3.7,4.4,,3.7,4.0,4.6,3.0
272,,3.2,2.1,2.4,4.5,1.5,4.3,,4.3,
273,,3.6,4.1,3.7,1.0,1.6,4.7,,4.7,4.4
274,3.3,,2.3,3.1,1.4,,4.2,,1.2,2.7
275,2.7,2.1,4.4,4.4,4.1,2.1,1.4,4.0,4.3,3.5
276,2.1,2.2,1.9,2.9,4.4,1.5,2.2,4.6,2.6,4.7
277,2.8,3.6,,1.3,,4.8,,4.4,2.4,
278,2.7,4.6,3.4,3.9,4.9,4.8,,,,
279,1.3,1.9,3.4,,1.3,,1.3,2.0,2.6,2.7
280,2.4,,2.0,,4.2,1.0,2.7,3.7,3.4,2.2
281,1.3,,3.1,4.3,2.3,,3.6,,4.1,3.4
282,3.2,4.6,,3.1,1.1,3.6,,,4.0,
283,3.3,4.9,3.1,3.3,,4.3,2.3,4.8,,
284,4.3,4.5,,,1.9,1.3,1.8,2.8,4.3,1.9
285,1.9,1.2,1.2,,,,3.2,,,
286,2.5,,4.5,,4.5,3.0,2.3,,,2.3
287,2.5,3.6,2.0,,1.7,3.1,,3.8,4.6,
288,,1.0,,,1.5,3.2,4.5,4.2,4.0,2.7
289,,3.3,1.3,3.0,2.5,1.7,3.4,,4.4,
290,4.8,1.4,3.4,4.4,1.6,4.6,,3.3,1.2,2.5
291,2.8,4.4,2.0,,2.0,2.5,1.1,2.3,,
292,,1.7,4.7,3.0,1.8,4.5,2.0,2.4,3.9,1.9
293,3.1,2.0,,,3.3,,2.4,,5.0,3.0
294,1.8,3.7,1.9,5.0,4.0,3.9,4.6,4.6,1.7,1.5
295,1.4,3.8,,,1.4,1.6,2.8,1.4,1.9,3.2
296,,,,3.0,,,5.0,1.5,,
297,,2.2,1.4,,1.5,,,1.3,3.4,3.5
298,2.8,1.3,1.8,1.3,,,2.8,2.7,2.1,
299,2.4,,2.7,1.4,4.4,3.3,2.3,,2.4,3.3
300,2.2,2.4,1.6,2.6,,2.3,,3.1,3.6,
301,3.3,4.7,,1.9,,,3.2,1.4,,3.4
302,3.7,,,2.1,1.8,4.8,3.2,4.7,3.5,1.7
303,1.0,,1.2,2.4,,4.5,4.6,4.2,4.7,3.4
304,,3.4,,,2.0,2.2,1.2,3.7,2.9,2.0
305,,,,3.0,1.9,1.9,,,4.0,1.2
306,,4.5,,2.0,,3.5,3.9,4.7,,4.7
307,,,3.7,3.8,2.3,4.5,,4.5,2.2,
308,3.9,4.3,4.8,2.0,3.9,1.1,4.0,3.3,,1.2
309,4.3,3.9,,1.7,3.2,4.4,2.8,3.2,4.1,3.9
310,4.5,,,3.7,,1.6,,4.7,4.7,
311,1.3,,3.7,1.6,,1.5,1.8,2.1,,
312,1.1,1.9,,4.1,3.8,4.8,1.1,3.7,,
313,1.1,2.6,2.4,3.5,4.1,4.2,5.0,3.8,1.2,1.4
314,,1.3,4.8,1.1,,2.9,1.1,1.1,2.1,1.9
315,1.6,,3.5,2.4,3.9,4.6,,,,
316,,2.5,4.8,1.3,1.2,4.8,1.9,,3.7,4.8
317,3.6,,,3.9,2.0,,,,,2.5
318,2.7,4.7,2.8,2.9,2.3,2.6,3.3,,3.0,2.4
319,2.8,3.2,2.7,3.6,3.5,,2.5,2.0,4.1,4.5
320,5.0,,,3.6,4.2,4.3,,3.8,,2.9
321,1.0,4.8,1.5,2.9,3.5,4.7,4.4,3.9,2.6,2.7
322,1.9,,5.0,,1.6,3.4,,4.2,4.6,1.3
323,,,2.9,1.3,4.8,1.2,,,,2.7
324,2.2,2.7,2.6,3.0,4.5,,,4.8,,3.9
325,,4.4,1.6,,3.7,3.5,1.2,,2.7,4.1
326,4.3,3.8,4.3,1.5,,,3.3,4.9,1.7,4.7
327,,,3.3,,2.1,,,,4.9,
328,3.2,,,1.8,2.5,2.4,,3.7,1.5,5.0
329,1.1,,3.0,3.1,4.5,,2.3,2.4,2.9,4.1
330,3.7,,3.8,,1.3,3.6,1.7,4.5,3.2,
331,4.4,,,2.9,,,2.7,4.6,1.9,
332,1.9,2.2,,1.5,,,2.0,,,
333,3.6,2.8,,2.6,,2.2,,3.4,,3.4
334,4.4,,4.7,2.9,2.8,,1.9,,3.4,
335,4.5,4.3,2.9,,4.0,3.3,,,,2.0
336,2.5,2.6,2.3,2.7,1.3,4.7,1.3,,1.6,4.4
337,3.9,1.8,,4.2,,,3.0,,3.2,1.3
338,3.3,4.4,4.9,4.7,2.3,1.7,1.3,2.8,,
339,3.0,2.6,3.5,4.8,4.9,1.4,,3.0,,4.1
340,1.0,,,1.3,4.9,,4.1,1.7,1.4,1.5
341,,4.2,,,3.5,2.0,,,3.1,4.9
342,4.5,3.2,2.1,3.2,3.0,3.0,3.2,,2.4,
343,4.6,2.7,1.2,1.7,4.6,3.7,2.0,1.1,1.9,
344,,2.4,2.4,,1.2,,2.3,3.7,1.6,1.0
345,,2.7,,3.4,,1.2,4.6,4.5,2.4,4.1
346,2.1,,3.3,3.4,2.8,,3.5,2.9,2.9,3.1
347,3.1,3.6,2.4,,3.2,1.8,1.3,3.2,,
348,4.9,4.0,1.5,2.0,2.9,4.8,4.1,4.9,,
349,1.5,1.8,4.1,,4.1,4.8,,2.9,4.0,
350,,3.0,4.3,1.4,3.5,3.5,,1.2,1.1,3.5
351,,3.7,2.7,3.7,1.3,2.1,4.0,1.1,3.9,2.2
352,3.2,,3.0,2.6,3.6,1.2,,,3.4,2.2
353,,2.5,2.5,3.0,,3.4,1.4,1.4,1.2,3.0
354,2.8,,,,5.0,4.8,4.7,,,
355,,,2.0,3.9,1.6,,4.6,,,
356,2.2,,1.2,3.6,,,2.9,,,
357,2.0,5.0,2.9,,3.1,4.9,1.7,4.8,4.9,
358,4.2,,,3.7,,5.0,3.2,3.0,1.7,
359,,,,,1.2,2.6,1.1,2.6,1.4,1.8
360,4.5,3.9,1.0,,4.5,3.8,3.4,1.9,,2.7
361,3.0,,2.4,1.2,2.4,,3.0,,,1.9
362,3.3,,1.7,4.7,3.8,3.2,1.7,1.9,2.9,4.0
363,,,3.1,,4.6,2.2,4.9,2.9,1.4,
364,,3.9,,3.5,1.5,,4.4,4.8,1.6,4.0
365,,3.6,3.7,4.1,4.4,1.2,3.4,4.6,,
366,,4.6,2.3,2.3,,,,3.2,,1.6
367,2.1,2.4,,,2.7,4.0,,2.7,,
368,3.7,3.0,1.6,3.1,,,,2.9,2.0,
369,1.2,,3.9,,,,1.6,,3.7,
370,4.9,,,1.7,4.0,1.5,,,4.4,
371,1.9,,,3.8,2.5,,3.8,2.0,3.2,4.9
372,,,4.5,3.4,1.7,2.7,2.2,2.9,1.8,4.6
373,,,,2.8,,,1.8,,3.6,2.4
374,,4.6,4.9,2.2,4.5,1.4,4.5,3.9,,
375,,1.1,1.9,2.3,3.3,3.5,,4.7,1.4,
376,,,1.3,2.5,4.6,4.1,2.6,1.3,,2.4
377,,4.8,1.0,4.4,,1.4,1.8,3.9,4.8,3.5
378,,,,1.3,1.1,2.0,,3.5,1.7,1.9
379,3.2,,3.3,,4.5,,4.3,2.8,2.0,
380,3.2,,4.3,,3.8,2.6,,2.4,4.9,1.2
381,3.7,,3.1,1.5,,2.0,4.8,,1.7,1.4
382,5.0,4.6,4.7,,2.8,4.0,,4.0,1.4,
383,,4.8,4.2,4.0,4.7,,2.4,4.1,,4.3
384,,3.2,2.1,3.4,1.5,,3.5,1.2,1.9,4.0
385,4.1,4.1,,1.6,2.4,4.8,2.4,4.8,2.7,
386,2.0,3.4,2.2,2.6,1.4,3.4,1.6,2.7,4.0,4.9
387,3.4,3.7,,,2.8,4.8,,1.7,2.0,
388,4.1,3.6,1.1,1.7,3.1,1.6,,3.2,2.1,
389,3.6,2.3,,1.9,2.7,1.4,2.1,3.6,,3.0
390,2.9,,4.7,2.1,,4.7,2.9,3.0,3.6,2.2
391,2.9,4.7,4.9,,2.8,1.3,2.2,3.8,,
392,1.9,3.5,,,3.7,1.0,,4.2,,4.9
393,4.4,,2.9,2.3,1.2,2.8,1.6,,,3.8
394,2.2,2.8,,2.5,3.7,3.8,1.3,3.9,1.3,
395,1.2,3.9,2.0,,2.6,,1.3,4.7,4.9,1.2
396,3.1,,4.5,4.7,,1.9,4.0,2.8,3.6,4.2
397,5.0,4.0,,,2.1,2.8,4.0,,4.6,2.5
398,1.5,2.3,,,,1.8,4.2,3.4,2.8,2.8
399,3.9,2.0,3.5,1.4,,2.0,1.7,2.1,,1.3
400,,2.8,3.5,,1.2,2.6,4.3,4.2,4.7,
401,3.4,4.4,2.4,,2.2,,,,2.1,3.0
402,,,4.6,4.8,,3.8,,,1.9,2.7
403,,,1.4,2.7,,,,4.5,3.7,1.4
404,3.1,3.9,,2.8,2.6,4.0,,2.4,,2.6
405,,4.5,,1.2,3.6,1.7,3.1,,,2.9
406,,2.2,3.8,,1.1,2.6,1.8,4.6,3.6,1.3
407,,2.3,3.7,4.6,4.7,3.7,,4.8,,3.5
408,,,2.9,,,3.1,4.0,,2.4,3.6
409,2.8,3.7,,4.0,4.7,3.1,2.0,2.3,1.7,
410,1.8,2.4,4.1,,1.7,1.8,1.4,1.3,2.9,1.3
411,2.6,2.7,,4.9,,,1.9,4.4,1.2,1.8
412,2.2,2.6,2.4,4.8,3.8,2.7,1.3,3.5,2.0,5.0
413,3.0,4.9,1.0,,1.9,1.9,1.7,1.5,3.3,4.4
414,,,,,4.0,,3.9,1.2,1.2,
415,,1.4,3.9,3.8,4.0,,,5.0,2.2,4.4
416,,4.6,,3.9,4.0,2.7,3.5,3.1,4.3,4.4
417,,3.5,1.4,,4.8,,3.2,4.5,,
418,,,,,2.9,1.3,,,4.1,2.9
419,,,2.1,,,1.8,2.2,,2.7,3.8
420,1.5,2.9,3.7,,4.1,,3.8,,4.8,1.7
421,,2.9,4.0,4.9,2.2,4.2,1.2,,3.2,
